Time,15min mean System Pout Consumption power (ALL) [kW],15min mean System Pout AC-coupling back power (ALL) [kW],15min mean System Pin Consumption power (ALL) [kW],15min mean System Pin Injection power (ALL) [kW],15min mean System Batt Charge Power Pbatt [kW],15min mean System Batt Discharge Power Pbatt [kW],15min mean Solar power (ALL) [kW]
2025-03-17 06:45:00,0.769508,0.0,0.8371753333333333,0.0,0.0,-0.0010293846313333334,0.007365206666666666
2025-03-17 07:00:00,0.9055199999999999,0.0,0.9480526666666667,0.0,3.8607753333333334e-05,-0.0013609735533333333,0.044814266666666665
2025-03-17 07:15:00,0.998716,0.0,0.9164466666666667,0.0,0.0001430813626666667,-0.0007398131953333334,0.15525286666666668
2025-03-17 07:30:00,0.6175273333333333,0.0,0.27586933333333336,0.0,0.0,-0.0025294500000000004,0.42136066666666666
2025-03-17 07:45:00,0.5420493333333333,0.0,0.027674153333333337,0.0,0.1391180268,-9.935986200000002e-05,0.7556553333333333
2025-03-17 08:00:00,0.861258,0.0,0.03152178666666667,-8.988000000000001e-05,0.56676624006,0.0,1.5426746666666666
2025-03-17 08:15:00,1.1792053333333332,0.0,0.14041952000000002,0.0,0.5609800367853333,-0.020700035880000002,1.74118
2025-03-17 08:30:00,2.138093333333333,0.0,0.025718333333333333,0.0,1.0937517479933334,-0.006966005873333333,3.4422533333333334
2025-03-17 08:45:00,2.2628133333333333,0.0,0.0219474,0.0,1.5550432856,0.0,4.0703933333333335
2025-03-17 09:00:00,2.3673266666666666,0.0,0.02256693333333333,0.0,1.9205933994666669,-0.051565176186666666,4.50612
2025-03-17 09:15:00,1.8033126666666666,0.0,0.008935186666666668,-0.00193976,3.4448301293333334,0.0,5.570053333333333
2025-03-17 09:30:00,0.9684846666666667,0.0,0.0,-0.010436266666666666,4.357432646866667,0.0,5.6905600000000005
2025-03-17 09:45:00,1.0246926666666667,0.0,0.0,-0.012404933333333333,4.686826261133334,0.0,6.0926599999999995
2025-03-17 10:00:00,1.0569466666666667,0.0,0.0,-0.0136544,5.0593114949333335,0.0,6.5202599999999995
2025-03-17 10:15:00,0.77613,0.0,0.0,-0.19373986666666668,5.4709297768,0.0,6.8546000000000005
2025-03-17 10:30:00,0.4956626666666667,0.0,0.0,-3.288661333333333,2.98654037,0.0,7.113866666666667
2025-03-17 10:45:00,0.37242200000000003,0.0,0.0,-5.6537,1.0196733011333334,0.0,7.340013333333333
2025-03-17 11:00:00,6.033996,0.0,0.0350846,-1.5107733333333333,0.24783101753333334,-0.6277051735266668,7.461646666666667
2025-03-17 11:15:00,7.63866,0.0,0.04361,-0.5676926666666666,0.2811094635333333,-0.8953755705666667,7.905513333333333
2025-03-17 11:30:00,4.565073333333333,-0.023311199999999997,0.0139146,-2.1574052666666668,0.8930694346,-0.53579324992,7.355653333333334
2025-03-17 11:45:00,0.03843993333333333,-0.04866946666666667,0.0,-4.599819999999999,0.9448295419333334,0.0,5.814353333333333
2025-03-17 12:00:00,0.0,-0.11371193333333333,0.0,-6.764073333333333,0.94571862,0.0,7.924693333333334
2025-03-17 12:15:00,0.0,-0.1327006,0.0,-6.463066666666666,0.9478407351333333,0.0,7.598126666666667
2025-03-17 12:30:00,0.00040058666666666667,-0.11627945266666666,0.0,-6.550093333333334,0.9478439999999999,0.0,7.70868
2025-03-17 12:45:00,0.2832206666666667,-0.039753816666666664,0.0,-6.087073333333334,0.9495800099333334,0.0,7.607986666666666
2025-03-17 13:00:00,0.00015271333333333333,-0.051789898,0.0,-6.223506666666666,0.9510380387333334,0.0,7.444466666666667
2025-03-17 13:15:00,3.3865333333333336e-05,-0.05717504933333333,0.0,-6.32194,0.9540464379333333,0.0,7.5375
2025-03-17 13:30:00,0.2718107333333333,-0.028878533333333335,0.0,-3.7644973333333334,0.9552091606666667,0.0,5.26274
2025-03-17 13:45:00,0.0018572,-0.12174866666666667,0.0,-6.321013333333334,0.48421218435244,-0.00029060985300000006,6.981906666666666
2025-03-17 14:00:00,0.00025204666666666666,-0.09792302,0.0,-6.844853333333333,0.0,-0.0023338650522666668,7.040753333333333
2025-03-17 14:15:00,0.0,-0.06692150666666666,0.0,-6.61676,8.440873333333333e-05,-0.0013780239596666668,6.843066666666667
2025-03-17 14:30:00,0.0,-0.05845350666666667,0.0,-6.292913333333333,0.00036856756333333325,-0.0011151486876000002,6.51948
2025-03-17 14:45:00,0.00108396,-0.061048,0.0,-5.995073333333334,0.0,-0.001166499148,6.205773333333334
2025-03-17 15:00:00,0.0,-0.10276746666666667,0.0,-5.622006666666667,0.00042008,-0.0022279750919999997,5.780733333333333
2025-03-17 15:15:00,0.0,-0.08556653333333333,0.0,-5.077473333333333,0.0011029948,-0.002012023,5.231846666666667
2025-03-17 15:30:00,0.006756266666666667,-0.0315984,0.0,-4.892053333333333,0.00014714548,-0.00144714712,5.110026666666667
2025-03-17 15:45:00,0.006736432,-0.006864046666666667,0.0,-4.2528733333333335,0.00013468548,-0.001402047972,4.479313333333334
2025-03-17 16:00:00,0.012283968000000001,-3.5811333333333334e-05,0.0,-3.86788,3.5006547999999996e-05,-0.001294653452,4.094846666666666
2025-03-17 16:15:00,0.018335166666666666,-0.008301433333333334,0.0,-3.46528,0.00011747115681333334,-0.0014066729791466666,3.6834466666666668
2025-03-17 16:30:00,0.05494329333333334,-0.012741426666666666,0.0,-2.8438533333333336,0.00015241409166666666,-0.0023336966303066664,3.0814133333333333
2025-03-17 16:45:00,1.8738146666666666,0.0,0.015099066666666666,-0.24450566666666665,0.0,-1.0998755419873334,1.2076593333333332
2025-03-17 17:00:00,1.0466086666666667,0.0,0.0,-0.4861746666666667,0.00012391373785333333,-0.3034433865933333,1.3970466666666668
2025-03-17 17:15:00,0.42405266666666663,0.0,0.0,-0.23727,0.00017082704890666666,-0.0005113122933333333,0.7939826666666666
2025-03-17 17:30:00,0.19138333333333335,0.0,0.0,-0.28575266666666665,0.000759576832,-9.398560266666668e-05,0.570558
2025-03-17 17:45:00,0.16027266666666667,0.0,0.0009798666666666668,-0.20169666666666666,0.0003801728746666667,-0.009946022669333334,0.447148
2025-03-17 18:00:00,0.14628066666666667,0.0,0.0005085333333333333,-0.07777113333333333,0.000492985248,-0.021464098946666666,0.28481999999999996
2025-03-17 18:15:00,0.15413446666666666,0.0,0.004930479066666668,-0.0051705,0.0002878722933333333,-0.07385092734666668,0.16324533333333333
2025-03-17 18:30:00,0.2716446666666667,0.0,0.011116633333333332,0.0,0.0,-0.2862138296,0.06919006666666667
2025-03-17 18:45:00,0.5850460000000001,0.0,0.01574894,0.0,0.0,-0.6493278250000001,0.0216952
2025-03-17 19:00:00,1.6725666666666668,0.0,0.030787600000000002,0.0,0.0,-1.7383452458000002,0.005792426666666667
2025-03-17 19:15:00,0.6739033333333334,0.0,0.014428866666666668,0.0,0.0,-0.6631016972333333,0.0017490198344000001
2025-03-17 19:30:00,0.36021000000000003,0.0,0.00969502,0.0,0.0,-0.34534418978666664,0.0
2025-03-17 19:45:00,0.19637266666666667,0.0,0.008338293333333333,0.0,0.0,-0.2439124032,0.0
2025-03-17 20:00:00,0.19307000000000002,0.0,0.008713273333333334,0.0,0.0,-0.24069373682666667,0.0
2025-03-17 20:15:00,0.18541000000000002,0.0,0.008905926666666668,0.0,0.0,-0.23276744262666668,0.0
2025-03-17 20:30:00,0.7892006666666667,0.0,0.018552046666666665,0.0,0.0,-0.8664482630533333,0.0
2025-03-17 20:45:00,2.32676,0.0,0.03879573333333333,0.0,0.0,-2.4265054255333336,0.0
2025-03-17 21:00:00,0.7602846666666667,0.0,0.017665780000000002,0.0,0.0,-0.8294109242466666,0.0
2025-03-17 21:15:00,1.4311253333333334,0.0,0.0291052,0.0,0.0,-1.5237713249666667,0.0
2025-03-17 21:30:00,0.17513600000000001,0.0,0.010280386666666667,0.0,0.0,-0.21859047676,0.0
2025-03-17 21:45:00,0.15679733333333334,0.0,0.009520633333333334,0.0,0.0,-0.20069290566,0.0
2025-03-17 22:00:00,0.10938166666666667,0.0,0.00905722,0.0,0.0,-0.15339032400000002,0.0
2025-03-17 22:15:00,0.5692486666666666,0.0,0.01692332666666667,0.0,0.0,-0.6245265426666666,0.0
2025-03-17 22:30:00,0.6822793333333333,0.0,0.018458866666666667,0.0,0.0,-0.7433048296,0.0
2025-03-17 22:45:00,0.681858,0.0,0.017379933333333333,0.0,0.0,-0.7424741714666666,0.0
2025-03-17 23:00:00,0.6516033333333334,0.0,0.016542666666666667,0.0,0.0,-0.7151562966,0.0
2025-03-17 23:15:00,0.8173786666666667,0.0,0.018922666666666664,0.0,0.0,-0.883602024,0.0
2025-03-17 23:30:00,1.47822,0.0,0.029265733333333332,0.0,0.0,-1.5700262008,0.0
2025-03-17 23:45:00,1.7955333333333334,0.0,0.033643933333333334,0.0,0.0,-1.9032622538666668,0.0
2025-03-18 00:00:00,2.0109533333333336,0.0,0.03643933333333334,0.0,0.0,-2.129278321466667,0.0
2025-03-18 00:15:00,1.6468666666666667,0.0,0.03164886666666667,0.0,0.0,-1.7477953411333333,0.0
2025-03-18 00:30:00,1.34538,0.0,0.027867066666666666,0.0,0.0,-1.4326159372,0.0
2025-03-18 00:45:00,1.15364,0.0,0.025561333333333332,0.0,0.0,-1.2325593875999998,0.0
2025-03-18 01:00:00,1.049214,0.0,0.02474113333333333,0.0,0.0,-1.1221338129333334,0.0
2025-03-18 01:15:00,1.0198639999999999,0.0,0.025721733333333333,0.0,0.0,-1.0923195112,0.0
2025-03-18 01:30:00,1.040916,0.0,0.025313866666666667,0.0,0.0,-1.1126080829333334,0.0
2025-03-18 01:45:00,0.9418799999999999,0.0,0.02392573333333333,0.0,0.0,-1.0083660963666667,0.0
2025-03-18 02:00:00,0.9385186666666667,0.0,0.023497533333333334,0.0,0.0,-1.0068010789333333,0.0
2025-03-18 02:15:00,0.97672,0.0,0.024391933333333334,0.0,0.0,-1.0459935895999999,0.0
2025-03-18 02:30:00,1.0131686666666666,0.0,0.5312981999999999,0.0,0.0,-0.5638162963666666,0.0
2025-03-18 02:45:00,1.0401873333333334,0.0,1.000376,0.0,0.0,-0.10329136445999999,0.0
2025-03-18 03:00:00,0.9795833333333334,0.0,0.9371259999999999,0.0,0.0,-0.10200904933333334,0.0
2025-03-18 03:15:00,0.900304,0.0,0.9056546666666667,0.0,0.0006820507333333333,-0.05584167773333333,0.0
2025-03-18 03:30:00,0.832376,0.0,0.8964733333333333,0.0,0.00198814415152,-0.0003611731132,0.0
2025-03-18 03:45:00,0.7395133333333334,0.0,0.807448,0.0,0.0026791921799999997,0.0,0.0
2025-03-18 04:00:00,0.7274726666666667,0.0,0.795446,0.0,0.0025661643599999995,-6.862217999999998e-05,0.0
2025-03-18 04:15:00,0.7860293333333334,0.0,0.854216,0.0,0.00316820782,0.0,0.0
2025-03-18 04:30:00,0.791616,0.0,0.860792,0.0,0.0035563091,0.0,0.0
2025-03-18 04:45:00,0.906032,0.0,0.9757533333333334,0.0,0.00218787218,-0.0005858932180000001,0.0
2025-03-18 05:00:00,0.859946,0.0,0.9278773333333333,0.0,0.001779009862,0.0,0.0
2025-03-18 05:15:00,0.8411426666666666,0.0,0.9096573333333333,0.0,0.00160217722,-7.785e-05,0.0
2025-03-18 05:30:00,0.8568593333333333,0.0,0.925538,0.0,0.001337292422,-3.402321851557459e-05,0.0
2025-03-18 05:45:00,0.8407453333333332,0.0,0.9076606666666667,0.0,0.00170289782,-0.00027161000000000004,0.0
2025-03-18 06:00:00,0.713284,0.0,0.7767320000000001,0.0,0.0009313189618,-0.000121675744,0.0
2025-03-18 06:15:00,0.6705659999999999,0.0,0.7330973333333333,0.0,0.000420387578,-0.000698924498,0.00039005400000000003
2025-03-18 06:30:00,1.142488,0.0,1.216372,0.0,0.00032235678199999995,-0.001122194602,0.004090366666666667
2025-03-18 06:45:00,0.5554373333333333,0.0,0.6082313333333335,0.0,2.5373218000000002e-05,-0.00043365218,0.02542314
2025-03-18 07:00:00,0.6187020000000001,0.0,0.6208100000000001,0.0,5.132356399999999e-05,-0.00035753411759999995,0.08225679999999999
2025-03-18 07:15:00,0.9311073333333334,0.0,0.8781386666666666,0.0,0.000203564602,-0.000825208962,0.13354066666666667
2025-03-18 07:30:00,0.7508626666666667,0.0,0.6433786666666667,0.0,2.422e-05,-0.0006373189557999999,0.18374
2025-03-18 07:45:00,0.730062,0.0,0.5759213333333333,0.0,4.036782e-06,-0.0005853164360000001,0.22738866666666666
2025-03-18 08:00:00,0.9633546666666667,0.0,0.18825018,0.0,1.03956736962,-0.0003558032179999999,1.9673246666666666
2025-03-18 08:15:00,1.2929400000000002,0.0,0.00997862,0.0,1.88290464,0.0,3.3878399999999997
2025-03-18 08:30:00,1.7086066666666668,0.0,0.013174,0.0,2.0192201146,0.0,3.9613466666666666
2025-03-18 08:45:00,1.75854,0.0,0.013078066666666666,0.0,2.4612171452,0.0,4.481966666666667
