Time,15min mean System Pout Consumption power (ALL) [kW],15min mean System Pout AC-coupling back power (ALL) [kW],15min mean System Pin Consumption power (ALL) [kW],15min mean System Pin Injection power (ALL) [kW],15min mean System Batt Charge Power Pbatt [kW],15min mean System Batt Discharge Power Pbatt [kW],15min mean Solar power (ALL) [kW]
2025-02-28 03:00:00,0.9416673333333333,0.0,1.003862,0.0,0.0006913322,-0.0009508677999999999,0.0
2025-02-28 03:15:00,0.7171973333333334,0.0,0.7817633333333334,0.0,0.0015708010199999998,0.0,0.0
2025-02-28 03:30:00,0.7543793333333333,0.0,0.8193066666666666,0.0,0.0018841678,0.0,0.0
2025-02-28 03:45:00,0.8136286666666667,0.0,0.8783786666666666,0.0,0.0020711711999999998,0.0,0.0
2025-02-28 04:00:00,0.80623,0.0,0.8730093333333334,0.0,0.0025636,0.0,0.0
2025-02-28 04:15:00,0.8675293333333334,0.0,0.9316526666666667,0.0,0.0013679318600000002,-5.1567800000000005e-05,0.0
2025-02-28 04:30:00,0.8710813333333333,0.0,0.9365613333333334,0.0,0.0013565986400000001,-0.00018813220000000002,0.0
2025-02-28 04:45:00,0.7911406666666667,0.0,0.8590979999999999,0.0,0.0026667355999999997,0.0,0.0
2025-02-28 05:00:00,0.8998426666666667,0.0,0.9688113333333334,0.0,0.0019869804,-0.0003071322,0.0
2025-02-28 05:15:00,1.10744,0.0,1.1711,0.0,0.0,-0.0024168288,0.0
2025-02-28 05:30:00,1.0934933333333334,0.0,1.1598533333333334,0.0,0.0,-0.0021380322,0.0
2025-02-28 05:45:00,1.1518266666666668,0.0,1.2162266666666668,0.0,0.0,-0.0026769356,0.0
2025-02-28 06:00:00,1.071886,0.0,1.1356466666666667,0.0,0.000136,-0.0017419322000000001,0.0
2025-02-28 06:15:00,1.0330593333333333,0.0,1.1033046666666666,0.0,0.0016535322,0.0,0.0
2025-02-28 06:30:00,1.4494373333333332,0.0,1.5145466666666667,0.0,0.0013327965999999998,-0.0012817762000000002,0.0
2025-02-28 06:45:00,0.9462713333333334,0.0,1.0071606666666666,0.0,0.0007213678,-0.0008386677999999999,2.3285333333333332e-05
2025-02-28 07:00:00,0.8131273333333334,0.0,0.880248,0.0,0.0,-0.0012670708600000002,0.002232406
2025-02-28 07:15:00,0.8897686666666667,0.0,0.9522346666666667,0.0,0.0,-0.00094122982,0.013945106666666667
2025-02-28 07:30:00,0.904956,0.0,0.9077233333333333,0.0,5.836780000000001e-05,-0.00086983356,0.08023179999999999
2025-02-28 07:45:00,0.8801366666666667,0.0,0.8043826666666667,0.0,3.96678e-06,-0.0007468644,0.15181933333333333
2025-02-28 08:00:00,0.972954,0.0,0.84432,0.0,0.0,-0.00086246576,0.20486866666666667
2025-02-28 08:15:00,1.0127140000000001,0.0,0.8011446666666667,0.0,0.0001796322,-0.00114861758,0.2909773333333333
2025-02-28 08:30:00,1.61984,0.0,0.948786,0.0,0.20698694855533334,-0.00121321996,0.987274
2025-02-28 08:45:00,2.3263333333333334,0.0,0.019895533333333333,0.0,0.933484261,-0.14309975246666667,3.2989200000000003
2025-02-28 09:00:00,2.587413333333333,0.0,0.020335266666666667,0.0,1.0918259676,-0.011272318926666667,3.8944133333333335
2025-02-28 09:15:00,1.5345,0.0,0.006759573333333334,0.0,2.731051705866667,0.0,4.52802
2025-02-28 09:30:00,1.2781533333333333,0.0,0.0003795333333333333,-0.004565044666666667,3.0076942092666665,0.0,4.571506666666666
2025-02-28 09:45:00,0.9538786666666667,0.0,0.0,-0.010416653333333333,4.065416706066666,0.0,5.357853333333334
2025-02-28 10:00:00,0.7474246666666667,0.0,0.0,-0.012074546666666667,4.4570628618,0.0,5.56262
2025-02-28 10:15:00,0.7841753333333333,0.0,0.0,-0.012320933333333334,4.8604342468,0.0,6.02486
2025-02-28 10:30:00,0.8444306666666666,0.0,0.0,-0.012503826666666667,4.944653824866666,0.0,6.175673333333333
2025-02-28 10:45:00,0.6346406666666666,0.0,0.0,-0.9062814,4.563943522266666,0.0,6.461306666666667
2025-02-28 11:00:00,1.4839486666666666,0.0,0.0,-3.144946666666667,1.8587982443333333,0.0,6.789526666666666
2025-02-28 11:15:00,1.3310953333333333,0.0,0.0,-4.44612,0.9281338731333334,0.0,6.989906666666667
